bias,condition,model,n,parse_rate,mean,median,std,choice_distribution,most_common,most_common_pct
anchoring,high_anchor,command-r-08-2024,30,100.0%,39.67,39.0,7.19,,,
anchoring,high_anchor,command-r-plus-08-2024,30,100.0%,32.31,28.0,9.59,,,
anchoring,high_anchor,gemini-2.5-flash,2,100.0%,15.0,15.0,18.38,,,
anchoring,high_anchor,gpt-4o-mini,30,100.0%,41.2,34.0,14.82,,,
anchoring,high_anchor,llama-3.1-8b-instant,30,100.0%,50.53,50.0,2.69,,,
anchoring,high_anchor,llama-3.3-70b-versatile,30,100.0%,49.5,50.0,2.74,,,
anchoring,low_anchor,command-r-08-2024,30,100.0%,28.38,29.0,2.78,,,
anchoring,low_anchor,command-r-plus-08-2024,30,100.0%,34.35,28.54,10.98,,,
anchoring,low_anchor,gemini-2.5-flash,1,50.0%,28.0,28.0,,,,
anchoring,low_anchor,gpt-4o-mini,30,100.0%,27.47,28.0,3.19,,,
anchoring,low_anchor,llama-3.1-8b-instant,30,100.0%,33.1,25.0,15.18,,,
anchoring,low_anchor,llama-3.3-70b-versatile,30,100.0%,20.33,20.0,1.27,,,
base_rate,high_base_rate,command-r-08-2024,30,100.0%,62.09,61.5,16.09,,,
base_rate,high_base_rate,command-r-plus-08-2024,20,100.0%,39.79,40.5,20.38,,,
base_rate,high_base_rate,gemini-2.5-flash,1,100.0%,9.0,9.0,,,,
base_rate,high_base_rate,llama-3.1-8b-instant,30,100.0%,59.73,66.5,16.36,,,
base_rate,high_base_rate,llama-3.3-70b-versatile,30,100.0%,80.0,80.0,0.0,,,
base_rate,low_base_rate,command-r-08-2024,30,100.0%,65.79,70.0,10.78,,,
base_rate,low_base_rate,command-r-plus-08-2024,20,100.0%,78.2,77.0,6.71,,,
base_rate,low_base_rate,gemini-2.5-flash,1,100.0%,90.0,90.0,,,,
base_rate,low_base_rate,llama-3.1-8b-instant,30,100.0%,72.07,70.0,6.72,,,
base_rate,low_base_rate,llama-3.3-70b-versatile,30,100.0%,80.0,80.0,0.0,,,
decoy,no_decoy,command-r-08-2024,30,100.0%,,,,{'A': np.int64(30)},A,100.0%
decoy,no_decoy,command-r-plus-08-2024,30,100.0%,,,,{'A': np.int64(30)},A,100.0%
decoy,no_decoy,gemini-2.5-flash,2,100.0%,,,,{'A': np.int64(2)},A,100.0%
decoy,no_decoy,llama-3.1-8b-instant,30,100.0%,,,,{'A': np.int64(30)},A,100.0%
decoy,no_decoy,llama-3.3-70b-versatile,30,100.0%,,,,{'A': np.int64(30)},A,100.0%
decoy,with_decoy,command-r-08-2024,30,100.0%,,,,"{'A': np.int64(29), 'B': np.int64(1)}",A,96.7%
decoy,with_decoy,command-r-plus-08-2024,20,100.0%,,,,"{'A': np.int64(15), 'C': np.int64(5)}",A,75.0%
decoy,with_decoy,gemini-2.5-flash,2,100.0%,,,,{'A': np.int64(2)},A,100.0%
decoy,with_decoy,llama-3.1-8b-instant,30,100.0%,,,,{'A': np.int64(30)},A,100.0%
decoy,with_decoy,llama-3.3-70b-versatile,30,100.0%,,,,{'A': np.int64(30)},A,100.0%
framing,gain_frame,command-r-08-2024,30,100.0%,,,,{'A': np.int64(30)},A,100.0%
framing,gain_frame,command-r-plus-08-2024,30,100.0%,,,,{'A': np.int64(30)},A,100.0%
framing,gain_frame,gemini-2.5-flash,2,100.0%,,,,{'A': np.int64(2)},A,100.0%
framing,gain_frame,gpt-4o-mini,30,100.0%,,,,{'B': np.int64(30)},B,100.0%
framing,gain_frame,llama-3.1-8b-instant,30,100.0%,,,,"{'A': np.int64(24), 'B': np.int64(6)}",A,80.0%
framing,gain_frame,llama-3.3-70b-versatile,30,100.0%,,,,{'A': np.int64(30)},A,100.0%
framing,loss_frame,command-r-08-2024,30,100.0%,,,,{'A': np.int64(30)},A,100.0%
framing,loss_frame,command-r-plus-08-2024,30,100.0%,,,,"{'A': np.int64(20), 'B': np.int64(10)}",A,66.7%
framing,loss_frame,gemini-2.5-flash,2,100.0%,,,,{'A': np.int64(2)},A,100.0%
framing,loss_frame,gpt-4o-mini,30,100.0%,,,,"{'B': np.int64(26), 'A': np.int64(4)}",B,86.7%
framing,loss_frame,llama-3.1-8b-instant,30,100.0%,,,,"{'A': np.int64(20), 'B': np.int64(10)}",A,66.7%
framing,loss_frame,llama-3.3-70b-versatile,30,100.0%,,,,{'A': np.int64(30)},A,100.0%
sunk_cost,high_sunk_cost,command-r-08-2024,30,100.0%,,,,"{'Michigan': np.int64(22), 'Wisconsin': np.int64(8)}",Michigan,73.3%
sunk_cost,high_sunk_cost,command-r-plus-08-2024,30,100.0%,,,,{'Wisconsin': np.int64(30)},Wisconsin,100.0%
sunk_cost,high_sunk_cost,gemini-2.5-flash,2,100.0%,,,,{'Wisconsin': np.int64(2)},Wisconsin,100.0%
sunk_cost,high_sunk_cost,gpt-4o-mini,27,100.0%,,,,{'Wisconsin': np.int64(27)},Wisconsin,100.0%
sunk_cost,high_sunk_cost,llama-3.1-8b-instant,30,100.0%,,,,"{'Wisconsin': np.int64(17), 'Michigan': np.int64(13)}",Wisconsin,56.7%
sunk_cost,high_sunk_cost,llama-3.3-70b-versatile,30,100.0%,,,,{'Wisconsin': np.int64(30)},Wisconsin,100.0%
