trial_id,bias,condition,model,provider,temperature,trial_num,prompt,raw_response,parsed_value,parse_success,latency_ms,timestamp
d428c6f6d99b,anchoring,high_anchor,llama-3.1-8b-instant,Groq,1.0,1,"Do you think the percentage of African countries in the United Nations is higher or lower than 65%?

Now, what is your b...",50,50.0,True,1566.1,2026-03-27T19:44:28.079492
b316113275bb,anchoring,high_anchor,llama-3.3-70b-versatile,Groq,1.0,1,"Do you think the percentage of African countries in the United Nations is higher or lower than 65%?

Now, what is your b...",50,50.0,True,1641.5,2026-03-27T19:44:28.154537
22bd92e33c59,anchoring,high_anchor,gemini-2.5-flash,Google,1.0,1,"Do you think the percentage of African countries in the United Nations is higher or lower than 65%?

Now, what is your b...",2,2.0,True,2935.4,2026-03-27T19:44:29.446750
b17498c2d264,anchoring,high_anchor,llama-3.1-8b-instant,Groq,1.0,2,"Do you think the percentage of African countries in the United Nations is higher or lower than 65%?

Now, what is your b...",50,50.0,True,661.8,2026-03-27T19:44:30.841787
0affc56f354e,anchoring,high_anchor,llama-3.3-70b-versatile,Groq,1.0,2,"Do you think the percentage of African countries in the United Nations is higher or lower than 65%?

Now, what is your b...",50,50.0,True,641.5,2026-03-27T19:44:30.896238
daf2ccf39b1f,anchoring,high_anchor,llama-3.1-8b-instant,Groq,1.0,3,"Do you think the percentage of African countries in the United Nations is higher or lower than 65%?

Now, what is your b...",47%,47.0,True,909.5,2026-03-27T19:44:33.851414
f3df93870896,anchoring,high_anchor,llama-3.3-70b-versatile,Groq,1.0,3,"Do you think the percentage of African countries in the United Nations is higher or lower than 65%?

Now, what is your b...",50,50.0,True,855.4,2026-03-27T19:44:33.851842
b5a9398683cb,anchoring,high_anchor,llama-3.1-8b-instant,Groq,1.0,4,"Do you think the percentage of African countries in the United Nations is higher or lower than 65%?

Now, what is your b...",47,47.0,True,1004.1,2026-03-27T19:44:36.957322
607434f190c6,anchoring,high_anchor,llama-3.3-70b-versatile,Groq,1.0,4,"Do you think the percentage of African countries in the United Nations is higher or lower than 65%?

Now, what is your b...",50,50.0,True,1184.1,2026-03-27T19:44:37.136484
877ee76a6a0a,anchoring,high_anchor,llama-3.1-8b-instant,Groq,1.0,5,"Do you think the percentage of African countries in the United Nations is higher or lower than 65%?

Now, what is your b...",50,50.0,True,671.1,2026-03-27T19:44:39.728538
02cb37e27f3d,anchoring,high_anchor,llama-3.3-70b-versatile,Groq,1.0,5,"Do you think the percentage of African countries in the United Nations is higher or lower than 65%?

Now, what is your b...",50,50.0,True,768.3,2026-03-27T19:44:40.005223
d0fb04914bad,anchoring,high_anchor,llama-3.1-8b-instant,Groq,1.0,6,"Do you think the percentage of African countries in the United Nations is higher or lower than 65%?

Now, what is your b...",50,50.0,True,666.6,2026-03-27T19:44:42.495696
0e8a62e1ab03,anchoring,high_anchor,llama-3.3-70b-versatile,Groq,1.0,6,"Do you think the percentage of African countries in the United Nations is higher or lower than 65%?

Now, what is your b...",50,50.0,True,828.3,2026-03-27T19:44:42.934266
a734c210993d,anchoring,high_anchor,llama-3.1-8b-instant,Groq,1.0,7,"Do you think the percentage of African countries in the United Nations is higher or lower than 65%?

Now, what is your b...",50,50.0,True,584.1,2026-03-27T19:44:45.180775
452d582feacc,anchoring,high_anchor,llama-3.3-70b-versatile,Groq,1.0,7,"Do you think the percentage of African countries in the United Nations is higher or lower than 65%?

Now, what is your b...",40,40.0,True,584.6,2026-03-27T19:44:45.619194
3ee5b439ec5e,anchoring,high_anchor,llama-3.1-8b-instant,Groq,1.0,8,"Do you think the percentage of African countries in the United Nations is higher or lower than 65%?

Now, what is your b...",47,47.0,True,635.1,2026-03-27T19:44:47.916023
af683c0a60c6,anchoring,high_anchor,llama-3.3-70b-versatile,Groq,1.0,8,"Do you think the percentage of African countries in the United Nations is higher or lower than 65%?

Now, what is your b...",50,50.0,True,981.6,2026-03-27T19:44:48.700981
ab330cb7fda0,anchoring,high_anchor,llama-3.1-8b-instant,Groq,1.0,9,"Do you think the percentage of African countries in the United Nations is higher or lower than 65%?

Now, what is your b...",48,48.0,True,640.8,2026-03-27T19:44:50.657193
529aed9a9c5b,anchoring,high_anchor,llama-3.3-70b-versatile,Groq,1.0,9,"Do you think the percentage of African countries in the United Nations is higher or lower than 65%?

Now, what is your b...",50,50.0,True,736.9,2026-03-27T19:44:51.538031
f888f7a002c3,anchoring,high_anchor,llama-3.1-8b-instant,Groq,1.0,10,"Do you think the percentage of African countries in the United Nations is higher or lower than 65%?

Now, what is your b...",50.,50.0,True,970.3,2026-03-27T19:44:53.727663
